




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2347)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of blood-brain barrier permeability (GO:1905603)	8	7	.91	+	7.68	3.56E-04	2.38E-02
negative regulation of platelet activation (GO:0010544)	19	11	2.17	+	5.08	1.08E-04	9.04E-03
regulation of vascular permeability (GO:0043114)	45	17	5.13	+	3.32	1.14E-04	9.45E-03
maintenance of blood-brain barrier (GO:0035633)	35	13	3.99	+	3.26	8.07E-04	4.61E-02
cell junction maintenance (GO:0034331)	35	13	3.99	+	3.26	8.07E-04	4.59E-02
regulation of vasoconstriction (GO:0019229)	63	19	7.18	+	2.65	6.47E-04	3.92E-02
regulation of blood coagulation (GO:0030193)	70	21	7.98	+	2.63	3.32E-04	2.26E-02
regulation of coagulation (GO:0050818)	75	22	8.55	+	2.57	2.91E-04	2.02E-02
regulation of hemostasis (GO:1900046)	72	21	8.21	+	2.56	4.25E-04	2.76E-02
negative regulation of response to wounding (GO:1903035)	92	25	10.48	+	2.38	3.26E-04	2.23E-02
potassium ion transmembrane transport (GO:0071805)	158	42	18.01	+	2.33	5.58E-06	8.40E-04
regulation of wound healing (GO:0061041)	131	34	14.93	+	2.28	7.71E-05	6.89E-03
potassium ion transport (GO:0006813)	167	43	19.03	+	2.26	9.29E-06	1.26E-03
blood vessel diameter maintenance (GO:0097746)	130	33	14.81	+	2.23	1.27E-04	1.03E-02
regulation of tube diameter (GO:0035296)	130	33	14.81	+	2.23	1.27E-04	1.03E-02
collagen fibril organization (GO:0030199)	103	26	11.74	+	2.22	6.64E-04	3.98E-02
regulation of tube size (GO:0035150)	131	33	14.93	+	2.21	1.38E-04	1.10E-02
vascular process in circulatory system (GO:0003018)	251	61	28.60	+	2.13	6.80E-07	1.56E-04
regulation of response to wounding (GO:1903034)	162	39	18.46	+	2.11	8.85E-05	7.73E-03
camera-type eye morphogenesis (GO:0048593)	125	30	14.24	+	2.11	7.14E-04	4.18E-02
regulation of synaptic plasticity (GO:0048167)	188	45	21.42	+	2.10	2.78E-05	3.01E-03
epithelial tube formation (GO:0072175)	132	31	15.04	+	2.06	6.36E-04	3.88E-02
tube formation (GO:0035148)	147	34	16.75	+	2.03	4.73E-04	3.04E-02
telencephalon development (GO:0021537)	254	56	28.95	+	1.93	2.65E-05	2.90E-03
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	43	22.56	+	1.91	3.59E-04	2.39E-02
muscle contraction (GO:0006936)	241	52	27.46	+	1.89	8.66E-05	7.61E-03
positive regulation of cell projection organization (GO:0031346)	353	76	40.23	+	1.89	1.72E-06	3.36E-04
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	56	29.86	+	1.88	5.21E-05	4.93E-03
axon guidance (GO:0007411)	277	59	31.57	+	1.87	3.74E-05	3.84E-03
connective tissue development (GO:0061448)	202	43	23.02	+	1.87	4.15E-04	2.70E-02
regulation of neuron differentiation (GO:0045664)	193	41	21.99	+	1.86	6.75E-04	4.01E-02
neuron projection guidance (GO:0097485)	278	59	31.68	+	1.86	3.90E-05	3.95E-03
blood vessel morphogenesis (GO:0048514)	410	87	46.72	+	1.86	6.07E-07	1.43E-04
regulation of neuron projection development (GO:0010975)	447	93	50.94	+	1.83	5.56E-07	1.33E-04
epithelial cell development (GO:0002064)	202	42	23.02	+	1.82	8.78E-04	4.92E-02
tube morphogenesis (GO:0035239)	654	134	74.53	+	1.80	3.34E-09	1.65E-06
